Número das zonas;Regiões
1ª Zona Eleitoral;Brasília - Asa Sul
2ª Zona Eleitoral;Paranoá, Varjão, Itapoã, Lago Norte
3ª Zona Eleitoral;Taguatinga
4ª Zona Eleitoral;Santa Maria
5ª Zona Eleitoral;Sobradinho
6ª Zona Eleitoral;Planaltina
8ª Zona Eleitoral;Ceilândia Centro
9ª Zona Eleitoral;Guará
10ª Zona Eleitoral;Núcleo Bandeirante, Riacho Fundo, Park Way, Candangolândia
11ª Zona Eleitoral;Cruzeiro, Sudoeste, Octogonal
13ª Zona Eleitoral;Samambaia
14ª Zona Eleitoral;Brasília - Asa Norte
15ª Zona Eleitoral;Águas Claras
16ª Zona Eleitoral;Ceilândia Norte, Brazlândia
17ª Zona Eleitoral;Gama
18ª Zona Eleitoral;Lago Sul, Jardim Botânico, São Sebastião
19ª Zona Eleitoral;Taguatinga
20ª Zona Eleitoral;Ceilândia Sul
21ª Zona Eleitoral;Recanto das Emas
